Title,Price,Location,Price_cleaned,Rooms,Area,Area_from_title,District
"Мирзо-Улугбекский р-н, Карасу-1, 2/3/4, 60 кв.м, ЗАФАР (ID-101739)",85 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:21",85000.0,,60.0,60.0,Mirzo-Ulug‘bek
Срочна Продаётся  ЖК Сити Молл Новостройка 3 ком  90m2,165 000 у.е.,"Toshkent, Yakkasaroy tumani - 05/02/2026",165000.0,,90.0,90.0,Yakkasaroy
"Чиланзар 26 квартал 2/5/5 Кирпичный дом, смежка, балкон 2*6",55 500 у.е.Kelishilgan,"Toshkent, Chilonzor tumani - Bugunda 07:19",55500.0,,26.0,26.0,Chilonzor
Supper Arzon ‼️ NRG JOMIY  3 xona 107m2,1 170 у.е.,"Toshkent, Shayxontohur tumani - 05/02/2026",1170.0,3.0,107.0,107.0,Shayxontohur
ЖК Соларис 2/7/10 55м2,88 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:18",88000.0,,55.0,55.0,Yashnobod
MIRABAD AVENUE 3/6/11  новый ремонт / 64м2,270 000 у.е.,"Toshkent, Mirobod tumani - Bugunda 07:17",270000.0,,64.0,64.0,Mirobod
Расрочка .Квартира 61м2 в ЖК Триумф резиденс.,50 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:17",50000.0,,61.0,61.0,Yashnobod
Срочно.Продажа 2/1/4 Чиланзар 8 квартал,76 000 у.е.,"Toshkent, Chilonzor tumani - 05/02/2026",76000.0,,8.0,8.0,Chilonzor
"9 Квартал Чилонзор  3-4 комнат 1 Этаж Атлас, Медиапарк,Райхон ресторан",85 000 у.е.,"Toshkent, Chilonzor tumani - Bugunda 05:48",85000.0,,9.0,9.0,Chilonzor
"Sergeli Yangi Darxon 2 ,2/3/16, 55 kv Jihozi bn накд ёки Ипотекага",58 000 у.е.Kelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 07:16",58000.0,,55.0,55.0,Boshqa
2/8/10 55м2 OzMahal от Golden House,124 500 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:15",124500.0,,55.0,55.0,Mirzo-Ulug‘bek
MODERA TOWERS 3/8/25 новый ремонт / 75м2 / Ш Руставели,280 000 у.е.,"Toshkent, Mirobod tumani - Bugunda 07:15",280000.0,,75.0,75.0,Mirobod
Юнусабад 4 квартал 3/3/4 раздельная чистая,83 500 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:15",83500.0,,4.0,4.0,Yunusobod
"М. Улугбек.р.  Учхоз 77-серия
4/3/4/.85 кв.
Ремонт йук.
Цена -67 000$.",68 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - 04/02/2026",68000.0,,85.0,85.0,Mirzo-Ulug‘bek
На Лисунова Шикарная квартира 56м²,80 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:15",80000.0,,56.0,56.0,Yashnobod
